Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Country 1,Country 2,Country 3,Country 4,Country 5,Country 6,Country 7,Country 8,Country 9,Country 10,Country 11,Country 12,Country 13,Country 14,Country 15,Country 16,Country 17,Country 18,University 1,University 2,University 3,University 4,University 5,University 6,University 7,University 8,University 9,University 10,University 11,University 12,University 13,University 14,University 15,University 16,University 17,University 18,Author with Affliliation 1,Author with Affliliation 2,Author with Affliliation 3,Author with Affliliation 4,Author with Affliliation 5,Author with Affliliation 6,Author with Affliliation 7,Author with Affliliation 8,Author with Affliliation 9,Author with Affliliation 10,Document Type,Publication Stage,Source,EID
"Gopinathan, Sharmini (57189847685)","Veeraya, Segaran (57739851100)","Raman, Murali (56238888000)","Jambulingam, Manimekalai (55700429000)",,,,,,,57189847685; 57739851100; 56238888000; 55700429000,Role of behavioral intention in implementation of green information systems among Malaysians,2025,Discover Sustainability,1,10.1007/s43621-025-00873-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219064512&doi=10.1007%2Fs43621-025-00873-y&partnerID=40&md5=0b97aaec9a9b8c38d4299501591c90cc,Malaysia,Malaysia,,,,,,,,,,,,,,,,,Taylor's University Malaysia,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,Sharmini Gopinathan - Taylor's University Malaysia,Segaran Veeraya - Taylor's University Malaysia,Murali Raman - Asia Pacific University of Technology and Innovation,Manimekalai Jambulingam - Taylor's University Malaysia,,,,,,,Article,Final,Scopus,2-s2.0-85219064512
"Yu, Genping (59999094500)","Ramayah, T. (57222416490)","Lin, Zhongyan (35194437500)",,,,,,,,59999094500; 57222416490; 35194437500,Toward understanding the role of generative AI in entrepreneurship education: A systematic review,2025,Computers and Education: Artificial Intelligence,0,10.1016/j.caeai.2025.100470,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015147565&doi=10.1016%2Fj.caeai.2025.100470&partnerID=40&md5=e1db3cc8e50644e230092f2399804b9e,Malaysia,China,Malaysia,Bangladesh,India,Indonesia,Oman,Jordan,Malaysia,Bahrain,,,,,,,,,Universiti Sains Malaysia,Minjiang University,Sunway Business School (SBS),Daffodil International University,University Center for Research & Development,Fakultas Ekonomi dan Bisnis,Sohar University,School of Business University of Jordan,Asia Pacific University of Technology and Innovation,University of Technology Bahrain,,,,,,,,,Genping Yu - Universiti Sains Malaysia,T. Ramayah - Universiti Sains Malaysia,Zhongyan Lin - Universiti Sains Malaysia,,,,,,,,Review,Final,Scopus,2-s2.0-105015147565
"Yaghoubi, Elnaz (57222405196)","Yaghoubi, Elaheh (57222405195)","Jahromi, Mehdi Zareian (55320270100)","Maghami, Mohammad Reza (56127745700)","Pasaoglu, Ali (59735006800)","Chamorro, Harold R. (26667535700)",,,,,57222405196; 57222405195; 55320270100; 56127745700; 59735006800; 26667535700,A novel data-driven NLMPC strategy for techno-economic microgrid management with battery energy storage under uncertainty,2025,Scientific Reports,0,10.1038/s41598-025-13906-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012414486&doi=10.1038%2Fs41598-025-13906-3&partnerID=40&md5=fd021f7999faecd5eba9059d00f5ee16,Turkey,Iran,Malaysia,Turkey,Sweden,,,,,,,,,,,,,,Karabük Üniversitesi,Amirkabir University of Technology,Asia Pacific University of Technology and Innovation,Istanbul Rumeli University,The Royal Institute of Technology (KTH),,,,,,,,,,,,,,Elnaz Yaghoubi - Karabük Üniversitesi,Elaheh Yaghoubi - Karabük Üniversitesi,Mehdi Zareian Jahromi - Amirkabir University of Technology,Mohammad Reza Maghami - Kuala Lumpur,Ali Pasaoglu - Istanbul Rumeli University,Harold R. Chamorro - The Royal Institute of Technology (KTH),,,,,Article,Final,Scopus,2-s2.0-105012414486
"Maghami, Mohammad Reza (56127745700)","Thang, Ka Fei (57078966300)","Mutambara, Arthur G.O. (6603367193)","Firoozi, Ali Akbar (55898742300)","Yaghoubi, Elnaz (57222405196)","Jahromi, Mehdi Zareian (55320270100)","Yaghoubi, Elaheh (57222405195)",,,,56127745700; 57078966300; 6603367193; 55898742300; 57222405196; 55320270100; 57222405195,Optimized planning of electric vehicle charging infrastructure for grid performance improvement,2025,Discover Sustainability,0,10.1007/s43621-025-01522-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011753991&doi=10.1007%2Fs43621-025-01522-0&partnerID=40&md5=68b60afb8013b7d6172cc259adead3fc,Malaysia,Malaysia,South Africa,Botswana,Turkey,Iran,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,Asia Pacific University of Technology and Innovation,University of Johannesburg,University of Botswana,Karabük Üniversitesi,Amirkabir University of Technology,,,,,,,,,,,,,Mohammad Reza Maghami - Asia Pacific University of Technology and Innovation,Ka Fei Thang - Asia Pacific University of Technology and Innovation,Arthur G.O. Mutambara - Johannesburg,Ali Akbar Firoozi - University of Botswana,Elnaz Yaghoubi - Karabük Üniversitesi,Mehdi Zareian Jahromi - Amirkabir University of Technology,Elaheh Yaghoubi - Karabük Üniversitesi,,,,Article,Final,Scopus,2-s2.0-105011753991
"Maghami, Mohammad Reza (56127745700)","Maghoul, Alireza (60011522800)","Thang, Ka Fei (57078966300)","Sundaram, Senthilarasu (57190937321)",,,,,,,56127745700; 60011522800; 57078966300; 57190937321,Net zero energy buildings: An overview of passive and active designs,2025,Energy Reports,0,10.1016/j.egyr.2025.07.028,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011476449&doi=10.1016%2Fj.egyr.2025.07.028&partnerID=40&md5=5240582c1747d40b58abef3d104ed411,Malaysia,Iran,Malaysia,United Kingdom,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,Islamic Azad University,Asia Pacific University of Technology and Innovation,Teesside University,,,,,,,,,,,,,,,Mohammad Reza Maghami - Kuala Lumpur,Alireza Maghoul - Islamic Azad University,Ka Fei Thang - Kuala Lumpur,Senthilarasu Sundaram - Teesside University,,,,,,,Review,Final,Scopus,2-s2.0-105011476449
"Khan, Nohman (57214892519)","Falahat, Mohammad (56940968000)","Ullah, Ihtisham (59736777900)","Sikandar, Huma (57340413500)","Van, Nguyenthuy (56767796100)",,,,,,57214892519; 56940968000; 59736777900; 57340413500; 56767796100,Integrating halal tourism with sustainable development goals through Islamic values environmental responsibility and technological innovation,2025,Discover Sustainability,0,10.1007/s43621-025-01503-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010851726&doi=10.1007%2Fs43621-025-01503-3&partnerID=40&md5=5d815d61ab1625267bc4dc8676a576e2,Malaysia,Malaysia,Viet Nam,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,Universiti Teknologi Malaysia,Phu Yen University,,,,,,,,,,,,,,,,Nohman Khan - Kuala Lumpur,Mohammad Falahat - Kuala Lumpur,Ihtisham Ullah - Kuala Lumpur,Huma Sikandar - Universiti Teknologi Malaysia,Nguyenthuy Van - Phu Yen University,,,,,,Review,Final,Scopus,2-s2.0-105010851726
"Firoozi, Ali Akbar (55898742300)","Firoozi, Ali Asghar (58235761600)","Maghami, Mohammad Reza (56127745700)",,,,,,,,55898742300; 58235761600; 56127745700,Transforming civil engineering: The role of nanotechnology and AI in advancing material durability and structural health monitoring,2025,Case Studies in Construction Materials,0,10.1016/j.cscm.2025.e05063,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010676771&doi=10.1016%2Fj.cscm.2025.e05063&partnerID=40&md5=b3c087f715a5b2620804ca4be5f92a7e,Botswana,Malaysia,Malaysia,,,,,,,,,,,,,,,,University of Botswana,Universiti Kebangsaan Malaysia,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,Ali Akbar Firoozi - University of Botswana,Ali Asghar Firoozi - Universiti Kebangsaan Malaysia,Mohammad Reza Maghami - Kuala Lumpur,,,,,,,,Article,Final,Scopus,2-s2.0-105010676771
"Maheshwari, Vishal (59975894400)","Kumar, Senthil (57201882926)","Yew, Beh Ching (59975894500)","Wah, Ooi Bee (59975535400)","Yee, Angelina Seow Voon (57874446200)","Razak, Shazrul Ekhmar Abdul (56286144900)","Ramachandran, Jayalakshmy (56089759300)",,,,59975894400; 57201882926; 59975894500; 59975535400; 57874446200; 56286144900; 56089759300,Qualitative factors affecting IT/IS startups valuation,2025,Multidisciplinary Reviews,0,10.31893/multirev.2025386,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009819821&doi=10.31893%2Fmultirev.2025386&partnerID=40&md5=c90cbc9937bb669ce9a1cdb581b53c7c,Malaysia,Malaysia,Malaysia,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,Universiti Putra Malaysia,The University of Nottingham Malaysia Campus,,,,,,,,,,,,,,,,Vishal Maheshwari - Kuala Lumpur,Senthil Kumar - Kuala Lumpur,Beh Ching Yew - Kuala Lumpur,Ooi Bee Wah - Kuala Lumpur,Angelina Seow Voon Yee - Kuala Lumpur,Shazrul Ekhmar Abdul Razak - Serdang,Jayalakshmy Ramachandran - Semenyih,,,,Review,Final,Scopus,2-s2.0-105009819821
"Soon, Kian Lun (57205191659)","Lai, Nai Shyan (59972175100)","Chow, Chee Onn (16241084600)","Kanesan, Jeevan (26434800000)","Yen, Kin Sam (35750858700)","Soon, Lam Tatt (59904339800)",,,,,57205191659; 59972175100; 16241084600; 26434800000; 35750858700; 59904339800,A quantum-enhanced ensemble model to forecast battery state of health under varying discharging load,2025,Measurement: Journal of the International Measurement Confederation,2,10.1016/j.measurement.2025.118318,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009654207&doi=10.1016%2Fj.measurement.2025.118318&partnerID=40&md5=b95f574ccdf9296ef49b9906cb0f922e,Malaysia,Malaysia,Malaysia,Malaysia,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,Universiti Malaya,Universiti Sains Malaysia,Taylor's University Malaysia,,,,,,,,,,,,,,,Kian Lun Soon - Asia Pacific University of Technology and Innovation,Nai Shyan Lai - Asia Pacific University of Technology and Innovation,Chee Onn Chow - Universiti Malaya,Jeevan Kanesan - Universiti Malaya,Kin Sam Yen - Universiti Sains Malaysia,Lam Tatt Soon - Taylor's University Malaysia,,,,,Article,Final,Scopus,2-s2.0-105009654207
"Sooriamoorthy, Denesh (57220863640)","Juman, Mohammed Ayoub (57191225711)","Manoharan, Aaruththiran (57827974800)","Nafea, Marwan (57202923734)","Shanmugam, Anandan (59913339500)",,,,,,57220863640; 57191225711; 57827974800; 57202923734; 59913339500,An integrated convolutional neural network with zero-dimensional cardiovascular hemodynamics parameters for early cardiovascular disease detection,2025,Biomedical Signal Processing and Control,0,10.1016/j.bspc.2025.108171,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006588646&doi=10.1016%2Fj.bspc.2025.108171&partnerID=40&md5=8371b49ce54bba9f81000683c88af81a,Malaysia,Malaysia,Malaysia,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,Monash University Malaysia,The University of Nottingham Malaysia Campus,,,,,,,,,,,,,,,,Denesh Sooriamoorthy - Asia Pacific University of Technology and Innovation,Mohammed Ayoub Juman - Monash University Malaysia,Aaruththiran Manoharan - The University of Nottingham Malaysia Campus,Marwan Nafea - The University of Nottingham Malaysia Campus,Anandan Shanmugam - The University of Nottingham Malaysia Campus,,,,,,Article,Final,Scopus,2-s2.0-105006588646
