Authors,Author full names,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Source,EID
"Assareh, E.; Izadyar, N.; Tandis, E.; Khiadani, M.; Shahavand, A.; Agarwal, N.; Gerami, A.; Rezk, A.; Kim, M.; Kord, R.; Pirhoushyaran, T.; Hosseinzadeh, M.; Mobayen, S.","Assareh, Ehsanolah (35145449000); Izadyar, Nima (56768095900); Tandis, Emad (57190969640); Khiadani, Mehdi Haji (8963620400); Shahavand, Amir (60117027400); Agarwal, Neha (57210697707); Gerami, Arian (57843367500); Rezk, Ahmed R.M. (36859626900); Kim, Minkyu (57116750000); Kord, Reza (57200365309); Pirhoushyaran, Tahereh (57197823053); Hosseinzadeh, Mehdi (57201880569); Mobayen, S. (24822975200)",35145449000; 56768095900; 57190969640; 8963620400; 60117027400; 57210697707; 57843367500; 36859626900; 57116750000; 57200365309; 57197823053; 57201880569; 24822975200,Thermoeconomic optimization of climate-adaptive solar and wind multi-generation systems using artificial intelligence and thermal energy recovery,2025,Engineering Applications of Artificial Intelligence,0,10.1016/j.engappai.2025.112481,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017234223&doi=10.1016%2Fj.engappai.2025.112481&partnerID=40&md5=7745de288b1e06e42f4989d0ecd17e67,"Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia; Built Environment and Engineering Program, Victoria University, Melbourne, VIC, Australia; Victoria University Melbourne, Institute of Sustainable Industries and Liveable Cities, Melbourne, VIC, Australia; Department of Mechatronics and Biomedical Engineering, Aston University, Birmingham, West Midlands, United Kingdom; School of Engineering, Edith Cowan University, Perth, WA, Australia; School of Engineering, Edith Cowan University, Perth, WA, Australia; Department of Renewable Energy Technology, Islamic Azad University, Dezful Branch, Dezful, Khuzestan Province, Iran; School of Chemical Engineering, Yeungnam University, Gyeongsan, Gyeongsangbuk-do, South Korea; Wichita State's College of Engineering, Wichita, KS, United States; College of Engineering and Physical Sciences, Aston University, Birmingham, West Midlands, United Kingdom; Department of Chemical Engineering, Islamic Azad University, Dezful Branch, Dezful, Khuzestan Province, Iran; School of Engineering & Technology, Duy Tan University, Da Nang, Viet Nam; Department of AI, Galgotias University, Greater Noida, UP, India; National Yunlin University of Science and Technology, Douliou, Yunlin, Taiwan","Assareh, Ehsanolah, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia, Built Environment and Engineering Program, Victoria University, Melbourne, VIC, Australia; Izadyar, Nima, Built Environment and Engineering Program, Victoria University, Melbourne, VIC, Australia, Victoria University Melbourne, Institute of Sustainable Industries and Liveable Cities, Melbourne, VIC, Australia; Tandis, Emad, Department of Mechatronics and Biomedical Engineering, Aston University, Birmingham, West Midlands, United Kingdom; Khiadani, Mehdi Haji, School of Engineering, Edith Cowan University, Perth, WA, Australia, School of Engineering, Edith Cowan University, Perth, WA, Australia; Shahavand, Amir, Department of Renewable Energy Technology, Islamic Azad University, Dezful Branch, Dezful, Khuzestan Province, Iran; Agarwal, Neha, School of Chemical Engineering, Yeungnam University, Gyeongsan, Gyeongsangbuk-do, South Korea; Gerami, Arian, Wichita State's College of Engineering, Wichita, KS, United States; Rezk, Ahmed R.M., College of Engineering and Physical Sciences, Aston University, Birmingham, West Midlands, United Kingdom; Kim, Minkyu, School of Chemical Engineering, Yeungnam University, Gyeongsan, Gyeongsangbuk-do, South Korea; Kord, Reza, Department of Chemical Engineering, Islamic Azad University, Dezful Branch, Dezful, Khuzestan Province, Iran; Pirhoushyaran, Tahereh, Department of Chemical Engineering, Islamic Azad University, Dezful Branch, Dezful, Khuzestan Province, Iran; Hosseinzadeh, Mehdi, School of Engineering & Technology, Duy Tan University, Da Nang, Viet Nam, Department of AI, Galgotias University, Greater Noida, UP, India; Mobayen, S., National Yunlin University of Science and Technology, Douliou, Yunlin, Taiwan",Article,Scopus,2-s2.0-105017234223
"Gopinathan, S.; Veeraya, S.; Raman, M.; Jambulingam, M.","Gopinathan, Sharmini (57189847685); Veeraya, Segaran (57739851100); Raman, Murali (56238888000); Jambulingam, Manimekalai (55700429000)",57189847685; 57739851100; 56238888000; 55700429000,Role of behavioral intention in implementation of green information systems among Malaysians,2025,Discover Sustainability,1,10.1007/s43621-025-00873-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219064512&doi=10.1007%2Fs43621-025-00873-y&partnerID=40&md5=0b97aaec9a9b8c38d4299501591c90cc,"School of Management and Marketing, Taylor's University Malaysia, Subang Jaya, Selangor, Malaysia; Graduate School of Business, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia","Gopinathan, Sharmini, School of Management and Marketing, Taylor's University Malaysia, Subang Jaya, Selangor, Malaysia; Veeraya, Segaran, School of Management and Marketing, Taylor's University Malaysia, Subang Jaya, Selangor, Malaysia; Raman, Murali, Graduate School of Business, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia; Jambulingam, Manimekalai, School of Management and Marketing, Taylor's University Malaysia, Subang Jaya, Selangor, Malaysia",Article,Scopus,2-s2.0-85219064512
"Nasir, M.; Kausar, M.S.; Waqas, M.; Zamri, N.; Zafar, M.","Nasir, Muhammad Syafiq Aiman Mohd (57609454700); Kausar, Muhammad Salman (57209024947); Waqas, M. (57283351900); Zamri, Nurnadiah Z.A.B.N.M. (36198993300); Zafar, Mudasar (57213077794)",57609454700; 57209024947; 57283351900; 36198993300; 57213077794,Cognitive neural modeling of MHD maxwell nanoliquid flow with variable thermosolutal properties in darcy–forchheimer porous Media,2025,Results in Engineering,0,10.1016/j.rineng.2025.108162,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021991813&doi=10.1016%2Fj.rineng.2025.108162&partnerID=40&md5=2b97dc60f22f95d9e8b641b9c38a043a,"Faculty of Informatics and Computing, Universiti Sultan Zainal Abidin, Kuala Terengganu, Terengganu, Malaysia; National University of Technology, Islamabad, Pakistan; School of Mathematics, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia; Faculty of Informatics and Computing, Universiti Sultan Zainal Abidin, Kuala Terengganu, Terengganu, Malaysia","Nasir, Muhammad Syafiq Aiman Mohd, Faculty of Informatics and Computing, Universiti Sultan Zainal Abidin, Kuala Terengganu, Terengganu, Malaysia; Kausar, Muhammad Salman, Faculty of Informatics and Computing, Universiti Sultan Zainal Abidin, Kuala Terengganu, Terengganu, Malaysia; Waqas, M., National University of Technology, Islamabad, Pakistan; Zamri, Nurnadiah Z.A.B.N.M., Faculty of Informatics and Computing, Universiti Sultan Zainal Abidin, Kuala Terengganu, Terengganu, Malaysia; Zafar, Mudasar, School of Mathematics, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia",Article,Scopus,2-s2.0-105021991813
"AlQershi, N.; Ramayah, R.","AlQershi, Nagwan Abdulwahab (57209411399); Ramayah, T. (57222416490)",57209411399; 57222416490,Is the sun the new battleground? Investigating the future of energy conflicts over solar power,2025,Energy Research and Social Science,0,10.1016/j.erss.2025.104414,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021096032&doi=10.1016%2Fj.erss.2025.104414&partnerID=40&md5=f720f5c54f0ed15158d415247ad38170,"College of Management, Université de Midocean, Moroni, Grande Comore, Comoros; School of Management, Universiti Sains Malaysia, Gelugor, Penang, Malaysia; Sunway Business School (SBS), Sunway City, Selangor, Malaysia; Department of Information Technology & Management, Daffodil International University, Dhaka, Bangladesh; Faculty of Business, Sohar University, Sohar, Oman; Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia; Chandigarh University, Mohali, PB, India; School of Business University of Jordan, Amman, Jordan; Fakultas Ekonomi dan Bisnis, Universitas Indonesia, Depok, West Java, Indonesia","AlQershi, Nagwan Abdulwahab, College of Management, Université de Midocean, Moroni, Grande Comore, Comoros; Ramayah, T., School of Management, Universiti Sains Malaysia, Gelugor, Penang, Malaysia, Sunway Business School (SBS), Sunway City, Selangor, Malaysia, Department of Information Technology & Management, Daffodil International University, Dhaka, Bangladesh, Faculty of Business, Sohar University, Sohar, Oman, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia, Chandigarh University, Mohali, PB, India, School of Business University of Jordan, Amman, Jordan, Fakultas Ekonomi dan Bisnis, Universitas Indonesia, Depok, West Java, Indonesia",Article,Scopus,2-s2.0-105021096032
"Yan, H.; Ahmad, H.; Chong, P.P.; Sooriamoorthy, D.; Cao, Z.; Zeng, Y.","Yan, Huixiang (57072174300); Ahmad, Hafisoh (60175281500); Chong, Pei Pei (55507457900); Sooriamoorthy, Denesh (57220863640); Cao, Zhenzhen (60175784200); Zeng, Yanbo (55580395100)",57072174300; 60175281500; 55507457900; 57220863640; 60175784200; 55580395100,Rapid and selective ratiometric colorimetric detection of nitrite based on Ir-doped CDs nanozyme,2025,Microchemical Journal,0,10.1016/j.microc.2025.116050,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020875634&doi=10.1016%2Fj.microc.2025.116050&partnerID=40&md5=892cf4b0ec3c104388301ad0f9025705,"Taylor's University Malaysia, Subang Jaya, Selangor, Malaysia; College of Advanced Materials Engineering, Jiaxing Nanhu University, Jiaxing, Zhejiang, China; School of Engineering, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia; School of Biosciences, Taylor's University Malaysia, Subang Jaya, Selangor, Malaysia; Centre for Active Living, Taylor's University Malaysia, Subang Jaya, Selangor, Malaysia; Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia; College of Biological and Chemical Engineering, Jiaxing University, Jiaxing, Zhejiang, China","Yan, Huixiang, Taylor's University Malaysia, Subang Jaya, Selangor, Malaysia, College of Advanced Materials Engineering, Jiaxing Nanhu University, Jiaxing, Zhejiang, China; Ahmad, Hafisoh, School of Engineering, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia; Chong, Pei Pei, School of Biosciences, Taylor's University Malaysia, Subang Jaya, Selangor, Malaysia, Centre for Active Living, Taylor's University Malaysia, Subang Jaya, Selangor, Malaysia; Sooriamoorthy, Denesh, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia; Cao, Zhenzhen, College of Biological and Chemical Engineering, Jiaxing University, Jiaxing, Zhejiang, China; Zeng, Yanbo, College of Biological and Chemical Engineering, Jiaxing University, Jiaxing, Zhejiang, China",Article,Scopus,2-s2.0-105020875634
"Ahmad, W.; Ali, F.; Ali, A.","Ahmad, Wasim (58533824600); Ali, Farman (57213658759); Ali, Aitizaz (56242072300)",58533824600; 57213658759; 56242072300,"Scalable AI-driven intent-based vehicle-to-everything communications for secure, low-latency, and energy-efficient smart cities",2025,Vehicular Communications,0,10.1016/j.vehcom.2025.100973,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018001973&doi=10.1016%2Fj.vehcom.2025.100973&partnerID=40&md5=d3e63afa01e438c994d0dd2c3d5ebb44,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, Jiangsu, China; Center for Wireless Technology, Multimedia University, Cyberjaya, Selangor, Malaysia; School of Technology, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia","Ahmad, Wasim, College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, Jiangsu, China; Ali, Farman, Center for Wireless Technology, Multimedia University, Cyberjaya, Selangor, Malaysia; Ali, Aitizaz, School of Technology, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia",Article,Scopus,2-s2.0-105018001973
"Firoozi, A.A.; Firoozi, A.A.; Maghami, M.R.","Firoozi, Ali Akbar (55898742300); Firoozi, Ali Asghar (58235761600); Maghami, Mohammad Reza (56127745700)",55898742300; 58235761600; 56127745700,Life Cycle Assessment for sustainable civil infrastructure with standardized functional units and boundaries,2025,Materials Today Sustainability,0,10.1016/j.mtsust.2025.101232,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017428229&doi=10.1016%2Fj.mtsust.2025.101232&partnerID=40&md5=17d946d57ed4560ea4166c9cd707f118,"Department of Civil Engineering, University of Botswana, Gaborone, Botswana; Department of Civil Engineering, Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia; Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia","Firoozi, Ali Akbar, Department of Civil Engineering, University of Botswana, Gaborone, Botswana, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia; Firoozi, Ali Asghar, Department of Civil Engineering, Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia; Maghami, Mohammad Reza, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia",Article,Scopus,2-s2.0-105017428229
"Zahoor, S.; Din, I.; Unnisa, Z.; Iqbal, S.; Alroobaea, R.; Saidani, O.; Law, F.","Zahoor, Shafaq (60119265500); Din, Irfanud Ud (55804793300); Unnisa, Zaib (57203227071); Iqbal, Sajid (59519391800); Alroobaea, Roobaea S. (56004657600); Saidani, Oumaima (15074351600); Law, Foongli (59942345100)",60119265500; 55804793300; 57203227071; 59519391800; 56004657600; 15074351600; 59942345100,Leveraging data-driven insights for esophageal and gastric cancer diagnosis,2025,BMC Medical Informatics and Decision Making,0,10.1186/s12911-025-03170-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017412500&doi=10.1186%2Fs12911-025-03170-w&partnerID=40&md5=6dd4faf6852b151022d092ecdd868fdf,"Department of Computer Science, University of Westminster, London, United Kingdom; Department of Computer Science, New Uzbekistan University, Tashkent, Uzbekistan; The Superior University, Lahore, Lahore, Punjab, Pakistan; Department of Computer Science, University of Lahore, Lahore, Punjab, Pakistan; Department of Computer Science, Taif University, Taif, Makkah al Mukarramah, Saudi Arabia; Department of Information Systems, Princess Nourah Bint Abdulrahman University, Riyadh, Riyad, Saudi Arabia; Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia","Zahoor, Shafaq, Department of Computer Science, University of Westminster, London, United Kingdom; Din, Irfanud Ud, Department of Computer Science, New Uzbekistan University, Tashkent, Uzbekistan; Unnisa, Zaib, The Superior University, Lahore, Lahore, Punjab, Pakistan; Iqbal, Sajid, Department of Computer Science, University of Lahore, Lahore, Punjab, Pakistan; Alroobaea, Roobaea S., Department of Computer Science, Taif University, Taif, Makkah al Mukarramah, Saudi Arabia; Saidani, Oumaima, Department of Information Systems, Princess Nourah Bint Abdulrahman University, Riyadh, Riyad, Saudi Arabia; Law, Foongli, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia",Article,Scopus,2-s2.0-105017412500
"Firoozi, A.A.; Firoozi, A.A.","Firoozi, Ali Akbar (55898742300); Firoozi, Ali Asghar (58235761600)",55898742300; 58235761600,Digital integration in eco-construction 2.0: Advancing sustainability through technology,2025,Sustainable Futures,2,10.1016/j.sftr.2025.101310,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016418697&doi=10.1016%2Fj.sftr.2025.101310&partnerID=40&md5=f0d3987f497a1d435b4f531511ea2e2e,"Department of Civil Engineering, University of Botswana, Gaborone, Botswana; Department of Civil Engineering, Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia; Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia","Firoozi, Ali Akbar, Department of Civil Engineering, University of Botswana, Gaborone, Botswana, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia; Firoozi, Ali Asghar, Department of Civil Engineering, Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia",Article,Scopus,2-s2.0-105016418697
"Ding, J.; Yeong, C.H.; Wang, L.; Shi, C.; Li, L.; Song, L.; Ma, W.; Li, P.","Ding, Jianhua (59476110900); Yeong, Chai Hong (35777244000); Wang, Lei (60099333100); Shi, Chunyan (60099333200); Li, Long (60098479300); Song, Lijun (60098910100); Ma, Wenxiu (60099485900); Li, Peng (59542176300)",59476110900; 35777244000; 60099333100; 60099333200; 60098479300; 60098910100; 60099485900; 59542176300,"Anlotinib in cancer therapy: mechanisms of action, clinical applications, and future perspectives",2025,Cancer Chemotherapy and Pharmacology,0,10.1007/s00280-025-04811-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015894330&doi=10.1007%2Fs00280-025-04811-7&partnerID=40&md5=e3e5d5bdcb9021e86ef58b963f8f4782,"Department of Medical Oncology and Hematology, Gansu Wuwei Tumor Hospital Lanzhou Campus, Gansu Lanzhou, China; Faculty of Health and Medical Sciences, Taylor's University Malaysia, Subang Jaya, Selangor, Malaysia; Department of Hematology, Ningxia Medical University, Yinchuan, Ningxia, China; Department of Hematology, Gansu Wuwei Tumor Hospital, Gansu Wuwei, China; School of Computing & Technology, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia","Ding, Jianhua, Department of Medical Oncology and Hematology, Gansu Wuwei Tumor Hospital Lanzhou Campus, Gansu Lanzhou, China; Yeong, Chai Hong, Faculty of Health and Medical Sciences, Taylor's University Malaysia, Subang Jaya, Selangor, Malaysia; Wang, Lei, Department of Medical Oncology and Hematology, Gansu Wuwei Tumor Hospital Lanzhou Campus, Gansu Lanzhou, China; Shi, Chunyan, Department of Medical Oncology and Hematology, Gansu Wuwei Tumor Hospital Lanzhou Campus, Gansu Lanzhou, China; Li, Long, Department of Medical Oncology and Hematology, Gansu Wuwei Tumor Hospital Lanzhou Campus, Gansu Lanzhou, China; Song, Lijun, Department of Hematology, Ningxia Medical University, Yinchuan, Ningxia, China; Ma, Wenxiu, Department of Hematology, Gansu Wuwei Tumor Hospital, Gansu Wuwei, China; Li, Peng, School of Computing & Technology, Asia Pacific University of Technology and Innovation, Kuala Lumpur, Malaysia",Review,Scopus,2-s2.0-105015894330
